"Date (A)","Verse Text (B)","Reference (C)","Season","Theme","Encouragement (F)","Reflection Prompt (G)"
"2026-07-31","Why are you in despair, my soul? Why are you disturbed within me? Hope in God! For I shall still praise him, the saving help of my countenance, and my God.","Psalm 42:11","In the Valley","Hope While Downcast","",""
"2026-08-01","It is because of Yahweh’s loving kindnesses that we are not consumed, because his compassion doesn’t fail. They are new every morning. Great is your faithfulness.","Lamentations 3:22-23","In the Valley","Mercy in the Morning","",""
"2026-08-02","He gives power to the weak. He increases the strength of him who has no might.","Isaiah 40:29","In the Valley","Strength for the Weary","",""
"2026-08-03","Take my yoke upon you, and learn from me, for I am gentle and humble in heart; and you will find rest for your souls.","Matthew 11:29","In the Valley (Sabbath)","Rest for Heavy Souls","",""
"2026-08-04","Immediately the father of the child cried out with tears, “I believe. Help my unbelief!”","Mark 9:24","In the Valley","Help My Unbelief","",""
"2026-08-05","He has said to me, “My grace is sufficient for you, for my power is made perfect in weakness.” Most gladly therefore I will rather glory in my weaknesses, that the power of Christ may rest on me.","2 Corinthians 12:9","In the Valley","Grace in Weakness","",""
"2026-08-06","Wait for Yahweh. Be strong, and let your heart take courage. Yes, wait for Yahweh.","Psalm 27:14","In the Valley","Waiting With Courage","",""
"2026-08-07","For though the fig tree doesn’t flourish, nor fruit be in the vines; the labor of the olive fails, the fields yield no food; the flocks are cut off from the fold, and there is no herd in the stalls: yet I will rejoice in Yahweh. I will be joyful in the God of my salvation!","Habakkuk 3:17-18","In the Valley","Joy Without Circumstances","",""
"2026-08-08","Jesus wept.","John 11:35","In the Valley","Jesus Wept","",""
"2026-08-09","God is our refuge and strength, a very present help in trouble.","Psalm 46:1","In the Valley","God Is a Refuge","",""
"2026-08-10","And the peace of God, which surpasses all understanding, will guard your hearts and your thoughts in Christ Jesus.","Philippians 4:7","In the Valley (Sabbath)","Peace Beyond Understanding","",""
"2026-08-11","We are pressed on every side, yet not crushed; perplexed, yet not to despair; pursued, yet not forsaken; struck down, yet not destroyed;","2 Corinthians 4:8-9","In the Valley","Not Crushed","",""
"2026-08-12","In my distress I called on Yahweh, and cried to my God. He heard my voice out of his temple. My cry before him came into his ears.","Psalm 18:6","In the Valley","God Hears the Cry","",""
"2026-08-13","He won’t break a bruised reed. He won’t quench a dimly burning wick. He will faithfully bring justice.","Isaiah 42:3","In the Valley","A Bruised Reed","",""
"2026-08-14","Don’t rejoice against me, my enemy. When I fall, I will arise. When I sit in darkness, Yahweh will be a light to me.","Micah 7:8","In the Valley","Light in Darkness","",""
"2026-08-15","This I recall to my mind; therefore I have hope.","Lamentations 3:21","In the Valley","Remembering Hope","",""
"2026-08-16","Yahweh is near to all those who call on him, to all who call on him in truth.","Psalm 145:18","In the Valley","The Lord Is Near","",""
"2026-08-17","He who dwells in the secret place of the Most High will rest in the shadow of the Almighty. I will say of Yahweh, “He is my refuge and my fortress; my God, in whom I trust.”","Psalm 91:1-2","In the Valley (Sabbath)","Refuge Under His Wings","",""
"2026-08-18","Trust in Yahweh with all your heart, and don’t lean on your own understanding. In all your ways acknowledge him, and he will make your paths straight.","Proverbs 3:5-6","Courage & Surrender","Trust Beyond Understanding","",""
"2026-08-19","Haven’t I commanded you? Be strong and courageous. Don’t be afraid. Don’t be dismayed, for Yahweh your God is with you wherever you go.”","Joshua 1:9","Courage & Surrender","Be Strong and Courageous","",""
"2026-08-20","Yahweh will fight for you, and you shall be still.”","Exodus 14:14","Courage & Surrender","God Fights for You","",""
"2026-08-21","casting all your worries on him, because he cares for you.","1 Peter 5:7","Courage & Surrender","Cast Your Cares","",""
"2026-08-22","He awoke, and rebuked the wind, and said to the sea, “Peace! Be still!” The wind ceased, and there was a great calm. He said to them, “Why are you so afraid? How is it that you have no faith?”","Mark 4:39-40","Courage & Surrender","Peace in the Storm","",""
"2026-08-23","for we walk by faith, not by sight.","2 Corinthians 5:7","Courage & Surrender","Walk by Faith","",""
"2026-08-24","For thus said the Lord Yahweh, the Holy One of Israel, “You will be saved in returning and rest. Your strength will be in quietness and in confidence.” You refused,","Isaiah 30:15","Courage & Surrender (Sabbath)","Quiet Confidence","",""
"2026-08-25","Don’t you be afraid, for I am with you. Don’t be dismayed, for I am your God. I will strengthen you. Yes, I will help you. Yes, I will uphold you with the right hand of my righteousness.","Isaiah 41:10","Courage & Surrender","Fear Not, I Am With You","",""
"2026-08-26","I can do all things through Christ, who strengthens me.","Philippians 4:13","Courage & Surrender","Strength Through Christ","",""
"2026-08-27","Yahweh himself is who goes before you. He will be with you. He will not fail you nor forsake you. Don’t be afraid. Don’t be discouraged.”","Deuteronomy 31:8","Courage & Surrender","He Goes Before You","",""
"2026-08-28","Yahweh is my light and my salvation. Whom shall I fear? Yahweh is the strength of my life. Of whom shall I be afraid?","Psalm 27:1","Courage & Surrender","The Lord Is My Light","",""
"2026-08-29","This hope we have as an anchor of the soul, a hope both sure and steadfast and entering into that which is within the veil;","Hebrews 6:19","Courage & Surrender","Anchor for the Soul","",""
"2026-08-30","Behold, I will do a new thing. It springs out now. Don’t you know it? I will even make a way in the wilderness, and rivers in the desert.","Isaiah 43:19","Courage & Surrender","Making a Way","",""
"2026-08-31","In peace I will both lay myself down and sleep, for you, Yahweh alone, make me live in safety.","Psalm 4:8","Courage & Surrender (Sabbath)","Sleep in Peace","",""
"2026-09-01","looking to Jesus, the author and perfecter of faith, who for the joy that was set before him endured the cross, despising its shame, and has sat down at the right hand of the throne of God.","Hebrews 12:2","Courage & Surrender","Fix Your Eyes on Jesus","",""
"2026-09-02","Be strong and courageous. Don’t be afraid or scared of them; for Yahweh your God himself is who goes with you. He will not fail you nor forsake you.”","Deuteronomy 31:6","Courage & Surrender","Courage for Tomorrow","",""
"2026-09-03","There is no fear in love; but perfect love casts out fear, because fear has punishment. He who fears is not made perfect in love.","1 John 4:18","Courage & Surrender","Perfect Love Casts Out Fear","",""
"2026-09-04","and he said, “Listen, all Judah, and you inhabitants of Jerusalem, and you, king Jehoshaphat. Yahweh says to you, ‘Don’t be afraid, and don’t be dismayed because of this great multitude; for the battle is not yours, but God’s.","2 Chronicles 20:15","Courage & Surrender","The Battle Is the Lord's","",""
"2026-09-05","I will lift up my eyes to the hills. Where does my help come from? My help comes from Yahweh, who made heaven and earth.","Psalm 121:1-2","Courage & Surrender","Lift Up Your Eyes","",""
"2026-09-06","For I, Yahweh your God, will hold your right hand, saying to you, ‘Don’t be afraid. I will help you.’","Isaiah 41:13","Courage & Surrender","Held by His Hand","",""
"2026-09-07","Rest in Yahweh, and wait patiently for him. Don’t fret because of him who prospers in his way, because of the man who makes wicked plots happen.","Psalm 37:7","Courage & Surrender (Sabbath)","Rest in Waiting","",""
"2026-09-08","This is the day that Yahweh has made. We will rejoice and be glad in it!","Psalm 118:24","Gratitude & Presence","This Is the Day","",""
"2026-09-09","Rejoice always. Pray without ceasing. In everything give thanks, for this is the will of God in Christ Jesus toward you.","1 Thessalonians 5:16-18","Gratitude & Presence","Give Thanks Always","",""
"2026-09-10","Give us today our daily bread.","Matthew 6:11","Gratitude & Presence","Daily Bread","",""
"2026-09-11","“Yahweh is my portion,” says my soul. “Therefore I will hope in him.”","Lamentations 3:24","Gratitude & Presence","The Lord Is My Portion","",""
"2026-09-12","Every good gift and every perfect gift is from above, coming down from the Father of lights, with whom can be no variation, nor turning shadow.","James 1:17","Gratitude & Presence","Every Good Gift","",""
"2026-09-13","Oh taste and see that Yahweh is good. Blessed is the man who takes refuge in him.","Psalm 34:8","Gratitude & Presence","Taste and See","",""
"2026-09-14","He makes me lie down in green pastures. He leads me beside still waters. He restores my soul. He guides me in the paths of righteousness for his name’s sake.","Psalm 23:2-3","Gratitude & Presence (Sabbath)","Green Pastures","",""
"2026-09-15","But seek first God’s Kingdom, and his righteousness; and all these things will be given to you as well.","Matthew 6:33","Gratitude & Presence","Seek First the Kingdom","",""
"2026-09-16","Rejoice in the Lord always! Again I will say, “Rejoice!”","Philippians 4:4","Gratitude & Presence","Rejoice in the Lord","",""
"2026-09-17","Jacob awakened out of his sleep, and he said, “Surely Yahweh is in this place, and I didn’t know it.”","Genesis 28:16","Gratitude & Presence","Surely God Is Here","",""
"2026-09-18","Remain in me, and I in you. As the branch can’t bear fruit by itself, unless it remains in the vine, so neither can you, unless you remain in me.","John 15:4","Gratitude & Presence","Abide in Me","",""
"2026-09-19","And let the peace of God rule in your hearts, to which also you were called in one body; and be thankful.","Colossians 3:15","Gratitude & Presence","Let Peace Rule","",""
"2026-09-20","He loves righteousness and justice. The earth is full of the loving kindness of Yahweh.","Psalm 33:5","Gratitude & Presence","The Earth Is Full of His Love","",""
"2026-09-21","He said, “My presence will go with you, and I will give you rest.”","Exodus 33:14","Gratitude & Presence (Sabbath)","My Presence Will Go With You","",""
"2026-09-22","The Lord Yahweh has given me the tongue of those who are taught, that I may know how to sustain with words him who is weary. He wakens morning by morning, he wakens my ear to hear as those who are taught.","Isaiah 50:4","Gratitude & Presence","Morning by Morning","",""
"2026-09-23","Also delight yourself in Yahweh, and he will give you the desires of your heart.","Psalm 37:4","Gratitude & Presence","Delight Yourself in the Lord","",""
"2026-09-24","Not that I speak because of lack, for I have learned in whatever state I am, to be content in it. I know how to be humbled, and I know also how to abound. In everything and in all things I have learned the secret both to be filled and to be hungry, both to abound and to be in need.","Philippians 4:11-12","Gratitude & Presence","Contentment Learned","",""
"2026-09-25","You will show me the path of life. In your presence is fullness of joy. In your right hand there are pleasures forever more.","Psalm 16:11","Gratitude & Presence","Fullness of Joy","",""
"2026-09-26","Give thanks to Yahweh, for he is good; for his loving kindness endures forever.","Psalm 136:1","Gratitude & Presence","His Love Endures Forever","",""
"2026-09-27","But Jesus answered them, “My Father is still working, so I am working, too.”","John 5:17","Gratitude & Presence","The Father Is Working","",""
"2026-09-28","He said to them, “You come apart into a deserted place, and rest awhile.” For there were many coming and going, and they had no leisure so much as to eat.","Mark 6:31","Gratitude & Presence (Sabbath)","Come Away and Rest","",""
"2026-09-29","Having gifts differing according to the grace that was given to us, if prophecy, let us prophesy according to the proportion of our faith;","Romans 12:6","Purpose & Calling","Gifted by Grace","",""
"2026-09-30","Even so, let your light shine before men; that they may see your good works, and glorify your Father who is in heaven.","Matthew 5:16","Purpose & Calling","Let Your Light Shine","",""
"2026-10-01","How beautiful on the mountains are the feet of him who brings good news, who publishes peace, who brings good news, who proclaims salvation, who says to Zion, “Your God reigns!”","Isaiah 52:7","Purpose & Calling","Beautiful Feet","",""
"2026-10-02","He who is faithful in a very little is faithful also in much. He who is dishonest in a very little is also dishonest in much.","Luke 16:10","Purpose & Calling","Faithful in Small Things","",""
"2026-10-03","You are the light of the world. A city located on a hill can’t be hidden.","Matthew 5:14","Purpose & Calling","A City on a Hill","",""
"2026-10-04","Every Scripture is God-breathed and profitable for teaching, for reproof, for correction, and for instruction in righteousness, that the man of God may be complete, thoroughly equipped for every good work.","2 Timothy 3:16-17","Purpose & Calling","Equipped for Good Work","",""
"2026-10-05","A man’s goings are established by Yahweh. He delights in his way.","Psalm 37:23","Purpose & Calling (Sabbath)","Ordered Steps","",""
"2026-10-06","We know that all things work together for good for those who love God, to those who are called according to his purpose.","Romans 8:28","Purpose & Calling","Called According to Purpose","",""
"2026-10-07","For you, brothers, were called for freedom. Only don’t use your freedom for gain to the flesh, but through love be servants to one another.","Galatians 5:13","Purpose & Calling","Serve Through Love","",""
"2026-10-08","We are therefore ambassadors on behalf of Christ, as though God were entreating by us: we beg you on behalf of Christ, be reconciled to God.","2 Corinthians 5:20","Purpose & Calling","Christ's Ambassadors","",""
"2026-10-09","But let justice roll on like rivers, and righteousness like a mighty stream.","Amos 5:24","Purpose & Calling","Do Justice","",""
"2026-10-10","As each has received a gift, employ it in serving one another, as good managers of the grace of God in its various forms.","1 Peter 4:10","Purpose & Calling","Use Your Gifts","",""
"2026-10-11","I heard the Lord’s voice, saying, “Whom shall I send, and who will go for us?” Then I said, “Here I am. Send me!”","Isaiah 6:8","Purpose & Calling","Send Me","",""
"2026-10-12","Commit your way to Yahweh. Trust also in him, and he will do this:","Psalm 37:5","Purpose & Calling (Sabbath)","Commit Your Way","",""
"2026-10-13","Therefore let us also, seeing we are surrounded by so great a cloud of witnesses, lay aside every weight and the sin which so easily entangles us, and let us run with perseverance the race that is set before us,","Hebrews 12:1","Purpose & Calling","Run the Race","",""
"2026-10-14","And whatever you do, work heartily, as for the Lord, and not for men,","Colossians 3:23","Purpose & Calling","Work for the Lord","",""
"2026-10-15","You didn’t choose me, but I chose you, and appointed you, that you should go and bear fruit, and that your fruit should remain; that whatever you will ask of the Father in my name, he may give it to you.","John 15:16","Purpose & Calling","Created to Bear Fruit","",""
"2026-10-16","each of you not just looking to his own things, but each of you also to the things of others.","Philippians 2:4","Purpose & Calling","Seek the Good of Others","",""
"2026-10-17","Here, moreover, it is required of stewards, that they be found faithful.","1 Corinthians 4:2","Purpose & Calling","Steward What Is Entrusted","",""
"2026-10-18","I told them of the hand of my God which was good on me, as also of the king’s words that he had spoken to me. They said, “Let’s rise up and build.” So they strengthened their hands for the good work.","Nehemiah 2:18","Purpose & Calling","Build the Kingdom","",""
"2026-10-19","Let the favor of the Lord our God be on us; establish the work of our hands for us; yes, establish the work of our hands.","Psalm 90:17","Purpose & Calling (Sabbath)","Establish the Work of Our Hands","",""
"2026-10-20","and hope doesn’t disappoint us, because God’s love has been poured out into our hearts through the Holy Spirit who was given to us.","Romans 5:5","Hope & Endurance","Hope Does Not Disappoint","",""
"2026-10-21","But those who wait for Yahweh will renew their strength. They will mount up with wings like eagles. They will run, and not be weary. They will walk, and not faint.","Isaiah 40:31","Hope & Endurance","Wait on the Lord","",""
"2026-10-22","being confident of this very thing, that he who began a good work in you will complete it until the day of Jesus Christ.","Philippians 1:6","Hope & Endurance","He Will Complete It","",""
"2026-10-23","For our light affliction, which is for the moment, works for us more and more exceedingly an eternal weight of glory;","2 Corinthians 4:17","Hope & Endurance","Eternal Weight of Glory","",""
"2026-10-24","Your bars will be iron and brass. As your days, so your strength will be.","Deuteronomy 33:25","Hope & Endurance","Strength for Each Day","",""
"2026-10-25","rejoicing in hope; enduring in troubles; continuing steadfastly in prayer;","Romans 12:12","Hope & Endurance","Rejoice in Hope","",""
"2026-10-26","Lord, you have been our dwelling place for all generations.","Psalm 90:1","Hope & Endurance (Sabbath)","Our Dwelling Place","",""
"2026-10-27","Now may the God of hope fill you with all joy and peace in believing, that you may abound in hope, in the power of the Holy Spirit.","Romans 15:13","Hope & Endurance","Overflowing Hope","",""
"2026-10-28","For his anger is but for a moment. His favor is for a lifetime. Weeping may stay for the night, but joy comes in the morning.","Psalm 30:5","Hope & Endurance","Joy Comes in the Morning","",""
"2026-10-29","Blessed is the man who endures temptation, for when he has been approved, he will receive the crown of life, which the Lord promised to those who love him.","James 1:12","Hope & Endurance","Crown of Life","",""
"2026-10-30","Let us not be weary in doing good, for we will reap in due season, if we don’t give up.","Galatians 6:9","Hope & Endurance","Do Not Grow Weary","",""
"2026-10-31","Cast your burden on Yahweh, and he will sustain you. He will never allow the righteous to be moved.","Psalm 55:22","Hope & Endurance","Cast Your Burden","",""
"2026-11-01","while we don’t look at the things which are seen, but at the things which are not seen. For the things which are seen are temporal, but the things which are not seen are eternal.","2 Corinthians 4:18","Hope & Endurance","Look to the Unseen","",""
"2026-11-02","looking for the blessed hope and appearing of the glory of our great God and Savior, Jesus Christ;","Titus 2:13","Hope & Endurance (Sabbath)","Blessed Hope","",""
"2026-11-03","He will wipe away every tear from their eyes. Death will be no more; neither will there be mourning, nor crying, nor pain, any more. The first things have passed away.”","Revelation 21:4","Hope & Endurance","He Will Wipe Every Tear","",""
"2026-11-04","Therefore we won’t be afraid, though the earth changes, though the mountains are shaken into the heart of the seas;","Psalm 46:2","Hope & Endurance","Though the Earth Give Way","",""
"2026-11-05","If it happens, our God whom we serve is able to deliver us from the burning fiery furnace; and he will deliver us out of your hand, O king. But if not, let it be known to you, O king, that we will not serve your gods or worship the golden image which you have set up.”","Daniel 3:17-18","Hope & Endurance","Faithful Through Fire","",""
"2026-11-06","that he would grant you, according to the riches of his glory, that you may be strengthened with power through his Spirit in the inward man;","Ephesians 3:16","Hope & Endurance","Strengthened with Power","",""
"2026-11-07","I laid myself down and slept. I awakened; for Yahweh sustains me.","Psalm 3:5","Hope & Endurance","The Lord Sustains","",""
"2026-11-08","You therefore must endure hardship, as a good soldier of Christ Jesus.","2 Timothy 2:3","Hope & Endurance","Endure Hardship","",""
"2026-11-09","I give eternal life to them. They will never perish, and no one will snatch them out of my hand.","John 10:28","Hope & Endurance (Sabbath)","Safe in His Hands","",""
"2026-11-10","Bear one another’s burdens, and so fulfill the law of Christ.","Galatians 6:2","Community & Forgiveness","Bear One Another's Burdens","",""
"2026-11-11","bearing with one another, and forgiving each other, if any man has a complaint against any; even as Christ forgave you, so you also do.","Colossians 3:13","Community & Forgiveness","Forgive as Christ Forgave","",""
"2026-11-12","A new commandment I give to you, that you love one another. Just as I have loved you, you also love one another.","John 13:34","Community & Forgiveness","Love One Another","",""
"2026-11-13","So, then, my beloved brothers, let every man be swift to hear, slow to speak, and slow to anger;","James 1:19","Community & Forgiveness","Quick to Listen","",""
"2026-11-14","Be of the same mind one toward another. Don’t set your mind on high things, but associate with the humble. Don’t be wise in your own conceits.","Romans 12:16","Community & Forgiveness","Live in Harmony","",""
"2026-11-15","And be kind to one another, tender hearted, forgiving each other, just as God also in Christ forgave you.","Ephesians 4:32","Community & Forgiveness","Kind and Tenderhearted","",""
"2026-11-16","Blessed are the peacemakers, for they shall be called children of God.","Matthew 5:9","Community & Forgiveness (Sabbath)","Blessed Are the Peacemakers","",""
"2026-11-17","And above all things be earnest in your love among yourselves, for love covers a multitude of sins.","1 Peter 4:8","Community & Forgiveness","Love Covers Many Sins","",""
"2026-11-18","Let us consider how to provoke one another to love and good works, not forsaking our own assembling together, as the custom of some is, but exhorting one another; and so much the more, as you see the Day approaching.","Hebrews 10:24-25","Community & Forgiveness","Encourage One Another","",""
"2026-11-19","Therefore accept one another, even as Christ also accepted you, to the glory of God.","Romans 15:7","Community & Forgiveness","Welcome One Another","",""
"2026-11-20","doing nothing through rivalry or through conceit, but in humility, each counting others better than himself;","Philippians 2:3","Community & Forgiveness","Consider Others Above Yourself","",""
"2026-11-21","but speaking truth in love, we may grow up in all things into him, who is the head, Christ;","Ephesians 4:15","Community & Forgiveness","Speak the Truth in Love","",""
"2026-11-22","In love of the brothers be tenderly affectionate to one another; in honor preferring one another;","Romans 12:10","Community & Forgiveness","Be Devoted to One Another","",""
"2026-11-23","See how good and how pleasant it is for brothers to live together in unity!","Psalm 133:1","Community & Forgiveness (Sabbath)","How Good It Is","",""
"2026-11-24","Confess your offenses to one another, and pray for one another, that you may be healed. The insistent prayer of a righteous person is powerfully effective.","James 5:16","Community & Forgiveness","Confess and Pray","",""
"2026-11-25","Don’t be overcome by evil, but overcome evil with good.","Romans 12:21","Community & Forgiveness","Overcome Evil with Good","",""
"2026-11-26","But I tell you, love your enemies, bless those who curse you, do good to those who hate you, and pray for those who mistreat you and persecute you,","Matthew 5:44","Community & Forgiveness","Love Your Enemies","",""
"2026-11-27","“Therefore be merciful, even as your Father is also merciful.","Luke 6:36","Community & Forgiveness","Compassion for Others","",""
"2026-11-28","Follow after peace with all men, and the sanctification without which no man will see the Lord,","Hebrews 12:14","Community & Forgiveness","Pursue Peace","",""
"2026-11-29","Now you are the body of Christ, and members individually.","1 Corinthians 12:27","Community & Forgiveness","One Body in Christ","",""
"2026-11-30","Above all these things, walk in love, which is the bond of perfection.","Colossians 3:14","Community & Forgiveness (Sabbath)","Perfect Unity","",""
"2026-12-01","Don’t be conformed to this world, but be transformed by the renewing of your mind, so that you may prove what is the good, well-pleasing, and perfect will of God.","Romans 12:2","Transformation & New Beginnings","Renew Your Mind","",""
"2026-12-02","But we all, with unveiled face seeing the glory of the Lord as in a mirror, are transformed into the same image from glory to glory, even as from the Lord, the Spirit.","2 Corinthians 3:18","Transformation & New Beginnings","Transformed by Glory","",""
"2026-12-03","I will also give you a new heart, and I will put a new spirit within you. I will take away the stony heart out of your flesh, and I will give you a heart of flesh.","Ezekiel 36:26","Transformation & New Beginnings","New Heart, New Spirit","",""
"2026-12-04","If we live by the Spirit, let’s also walk by the Spirit.","Galatians 5:25","Transformation & New Beginnings","Walk by the Spirit","",""
"2026-12-05","and have put on the new man, who is being renewed in knowledge after the image of his Creator,","Colossians 3:10","Transformation & New Beginnings","Put on the New Self","",""
"2026-12-06","Brothers, I don’t regard myself as yet having taken hold, but one thing I do. Forgetting the things which are behind, and stretching forward to the things which are before, I press on toward the goal for the prize of the high calling of God in Christ Jesus.","Philippians 3:13-14","Transformation & New Beginnings","Forget What Is Behind","",""
"2026-12-07","Surely goodness and loving kindness shall follow me all the days of my life, and I will dwell in Yahweh’s house forever.","Psalm 23:6","Transformation & New Beginnings (Sabbath)","Goodness and Mercy Follow","",""
